都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
26,京都府,26465,与謝野町,15 ,2 ,4 ,21 ,30 ,34 ,63 ,26 ,18 ,2 ,0 ,46 ,0 ,131 
27,大阪府,27100,大阪市,"3,030 ",272 ,36 ,"3,338 ","9,582 ","4,579 ","14,162 ","1,167 ","1,080 ",203 ,235 ,"2,685 ",470 ,"20,654 "
27,大阪府,27140,堺市,"2,975 ",45 ,17 ,"3,037 ","1,192 ","1,251 ","2,443 ",605 ,373 ,65 ,57 ,"1,099 ",114 ,"6,693 "
27,大阪府,27202,岸和田市,194 ,10 ,3 ,207 ,285 ,280 ,565 ,161 ,111 ,15 ,4 ,292 ,20 ,"1,084 "
27,大阪府,27203,豊中市,206 ,15 ,3 ,224 ,540 ,601 ,"1,141 ",219 ,105 ,30 ,0 ,354 ,29 ,"1,748 "
27,大阪府,27204,池田市,482 ,3 ,2 ,488 ,154 ,152 ,306 ,66 ,29 ,8 ,0 ,104 ,12 ,910 
27,大阪府,27205,吹田市,222 ,17 ,2 ,241 ,666 ,529 ,"1,194 ",201 ,89 ,27 ,0 ,317 ,58 ,"1,811 "
27,大阪府,27206,泉大津市,122 ,2 ,0 ,125 ,121 ,110 ,231 ,55 ,38 ,6 ,57 ,155 ,11 ,522 
27,大阪府,27207,高槻市,328 ,12 ,5 ,345 ,435 ,517 ,952 ,218 ,96 ,27 ,0 ,340 ,50 ,"1,687 "
27,大阪府,27208,貝塚市,212 ,4 ,1 ,216 ,105 ,122 ,227 ,76 ,48 ,7 ,4 ,136 ,11 ,589 
27,大阪府,27209,守口市,109 ,9 ,1 ,119 ,253 ,230 ,484 ,79 ,60 ,11 ,0 ,150 ,8 ,760 
27,大阪府,27210,枚方市,595 ,13 ,2 ,610 ,483 ,576 ,"1,058 ",272 ,104 ,31 ,0 ,407 ,34 ,"2,110 "
