都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計,
6 ,山形県,6209,長井市,27 ,3 ,11 ,40 ,33 ,41 ,74 ,29 ,26 ,2 ,0 ,57 ,4 ,175 ,
6 ,山形県,6210,天童市,91 ,4 ,7 ,102 ,81 ,93 ,174 ,68 ,57 ,4 ,0 ,129 ,9 ,415 ,
6 ,山形県,6211,東根市,230 ,2 ,9 ,241 ,55 ,74 ,130 ,49 ,40 ,3 ,0 ,92 ,7 ,470 ,
6 ,山形県,6212,尾花沢市,13 ,2 ,9 ,24 ,17 ,23 ,40 ,16 ,22 ,1 ,0 ,39 ,2 ,105 ,
6 ,山形県,6213,南陽市,31 ,2 ,4 ,36 ,36 ,47 ,84 ,33 ,28 ,2 ,0 ,63 ,5 ,187 ,
6 ,山形県,6301,山辺町,3 ,1 ,5 ,8 ,9 ,20 ,29 ,14 ,10 ,1 ,0 ,25 ,2 ,64 ,
6 ,山形県,6302,中山町,3 ,1 ,3 ,7 ,7 ,15 ,23 ,12 ,9 ,1 ,0 ,22 ,2 ,53 ,
6 ,山形県,6321,河北町,19 ,2 ,3 ,23 ,15 ,26 ,42 ,19 ,18 ,1 ,0 ,38 ,3 ,106 ,
6 ,山形県,6322,西川町,2 ,0 ,4 ,6 ,5 ,8 ,13 ,5 ,6 ,0 ,0 ,12 ,1 ,32 ,
6 ,山形県,6323,朝日町,3 ,1 ,1 ,5 ,6 ,10 ,16 ,7 ,9 ,0 ,0 ,16 ,1 ,38 ,
6 ,山形県,6324,大江町,12 ,1 ,2 ,15 ,6 ,12 ,18 ,8 ,8 ,0 ,0 ,17 ,1 ,51 ,
6 ,山形県,6341,大石田町,4 ,1 ,1 ,6 ,5 ,10 ,15 ,7 ,9 ,0 ,0 ,16 ,1 ,38 ,
6 ,山形県,6361,金山町,2 ,1 ,4 ,6 ,4 ,7 ,11 ,5 ,7 ,0 ,0 ,12 ,1 ,30 ,
6 ,山形県,6362,最上町,3 ,2 ,3 ,8 ,7 ,12 ,19 ,8 ,11 ,1 ,0 ,19 ,1 ,47 ,
6 ,山形県,6363,舟形町,3 ,1 ,5 ,8 ,4 ,8 ,12 ,5 ,7 ,0 ,0 ,12 ,1 ,32 ,
6 ,山形県,6364,真室川町,3 ,1 ,10 ,14 ,6 ,11 ,17 ,7 ,9 ,0 ,0 ,17 ,1 ,49 ,
6 ,山形県,6365,大蔵村,0 ,0 ,2 ,2 ,3 ,4 ,7 ,3 ,5 ,0 ,0 ,9 ,0 ,18 ,
6 ,山形県,6366,鮭川村,2 ,1 ,9 ,12 ,2 ,6 ,8 ,4 ,7 ,0 ,0 ,11 ,0 ,31 ,
6 ,山形県,6367,戸沢村,1 ,0 ,1 ,2 ,3 ,7 ,10 ,4 ,6 ,0 ,0 ,10 ,1 ,22 ,
6 ,山形県,6381,高畠町,29 ,1 ,4 ,34 ,19 ,32 ,51 ,24 ,24 ,1 ,0 ,50 ,3 ,139 ,
6 ,山形県,6382,川西町,14 ,1 ,5 ,20 ,20 ,21 ,41 ,16 ,18 ,1 ,0 ,34 ,2 ,98 ,
6 ,山形県,6401,小国町,19 ,1 ,5 ,25 ,8 ,13 ,20 ,7 ,7 ,0 ,0 ,15 ,1 ,61 ,
6 ,山形県,6402,白鷹町,12 ,1 ,5 ,18 ,11 ,20 ,31 ,14 ,15 ,1 ,0 ,31 ,2 ,82 ,
6 ,山形県,6403,飯豊町,11 ,1 ,6 ,17 ,6 ,10 ,16 ,7 ,9 ,0 ,0 ,17 ,1 ,52 ,
6 ,山形県,6426,三川町,11 ,1 ,4 ,16 ,14 ,10 ,25 ,8 ,10 ,0 ,0 ,18 ,0 ,58 ,
6 ,山形県,6428,庄内町,11 ,2 ,6 ,18 ,17 ,30 ,47 ,22 ,22 ,1 ,0 ,45 ,4 ,115 ,
6 ,山形県,6461,遊佐町,7 ,1 ,6 ,14 ,11 ,21 ,32 ,14 ,17 ,1 ,0 ,32 ,2 ,80 ,
7 ,福島県,7201,福島市,388 ,20 ,20 ,429 ,546 ,472 ,"1,018 ",289 ,185 ,17 ,0 ,492 ,34 ,"1,973 ",
7 ,福島県,7202,会津若松市,186 ,9 ,18 ,213 ,224 ,199 ,423 ,116 ,88 ,7 ,0 ,212 ,19 ,867 ,
7 ,福島県,7203,郡山市,515 ,32 ,35 ,581 ,620 ,544 ,"1,163 ",346 ,250 ,20 ,0 ,616 ,55 ,"2,416 ",
7 ,福島県,7204,いわき市,793 ,34 ,64 ,890 ,476 ,561 ,"1,037 ",362 ,252 ,20 ,46 ,680 ,47 ,"2,654 ",
7 ,福島県,7205,白河市,275 ,4 ,16 ,295 ,89 ,95 ,184 ,68 ,52 ,4 ,0 ,125 ,8 ,612 ,
7 ,福島県,7207,須賀川市,132 ,5 ,9 ,147 ,101 ,113 ,214 ,84 ,72 ,5 ,0 ,160 ,11 ,532 ,
