都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
33,岡山県,33346,和気町,136 ,1 ,11 ,148 ,18 ,33 ,51 ,19 ,21 ,1 ,0 ,41 ,2 ,243 
33,岡山県,33423,早島町,19 ,1 ,0 ,21 ,20 ,23 ,43 ,15 ,10 ,1 ,0 ,26 ,0 ,90 
33,岡山県,33445,里庄町,"1,397 ",0 ,0 ,"1,397 ",13 ,21 ,34 ,13 ,8 ,1 ,0 ,22 ,1 ,"1,454 "
33,岡山県,33461,矢掛町,283 ,3 ,10 ,296 ,17 ,27 ,44 ,18 ,21 ,1 ,0 ,41 ,1 ,382 
33,岡山県,33586,新庄村,1 ,0 ,0 ,1 ,1 ,2 ,3 ,1 ,2 ,0 ,0 ,3 ,0 ,7 
33,岡山県,33606,鏡野町,66 ,3 ,10 ,79 ,20 ,29 ,49 ,18 ,24 ,1 ,0 ,43 ,1 ,172 
33,岡山県,33622,勝央町,694 ,2 ,1 ,697 ,15 ,21 ,36 ,14 ,16 ,1 ,0 ,31 ,0 ,764 
33,岡山県,33623,奈義町,167 ,1 ,2 ,170 ,4 ,13 ,17 ,8 ,10 ,0 ,0 ,18 ,0 ,205 
33,岡山県,33643,西粟倉村,3 ,0 ,1 ,4 ,2 ,3 ,5 ,2 ,3 ,0 ,0 ,5 ,0 ,13 
33,岡山県,33663,久米南町,26 ,1 ,3 ,30 ,5 ,12 ,17 ,6 ,8 ,0 ,0 ,15 ,0 ,62 
33,岡山県,33666,美咲町,129 ,2 ,19 ,151 ,14 ,34 ,48 ,20 ,26 ,1 ,0 ,47 ,1 ,246 
33,岡山県,33681,吉備中央町,158 ,2 ,11 ,171 ,13 ,29 ,42 ,15 ,24 ,1 ,0 ,40 ,1 ,254 
34,広島県,34100,広島市,"8,243 ",133 ,50 ,"8,427 ","2,861 ","2,053 ","4,913 ","1,055 ",596 ,67 ,50 ,"1,769 ",85 ,"15,194 "
34,広島県,34202,呉市,"3,993 ",22 ,32 ,"4,048 ",430 ,462 ,891 ,220 ,146 ,15 ,162 ,543 ,36 ,"5,518 "
34,広島県,34203,竹原市,296 ,5 ,14 ,314 ,56 ,54 ,110 ,33 ,26 ,2 ,62 ,123 ,1 ,548 
34,広島県,34204,三原市,"2,055 ",13 ,42 ,"2,110 ",192 ,175 ,367 ,110 ,94 ,6 ,42 ,252 ,16 ,"2,746 "
34,広島県,34205,尾道市,"1,911 ",16 ,20 ,"1,947 ",261 ,260 ,521 ,151 ,135 ,9 ,106 ,401 ,8 ,"2,878 "
34,広島県,34207,福山市,"6,962 ",51 ,21 ,"7,034 ",920 ,736 ,"1,655 ",531 ,391 ,27 ,68 ,"1,017 ",13 ,"9,719 "
34,広島県,34208,府中市,944 ,3 ,5 ,952 ,79 ,70 ,149 ,53 ,46 ,3 ,0 ,102 ,0 ,"1,202 "
34,広島県,34209,三次市,564 ,8 ,58 ,630 ,115 ,98 ,212 ,72 ,83 ,4 ,0 ,159 ,5 ,"1,006 "
34,広島県,34210,庄原市,200 ,7 ,44 ,251 ,72 ,67 ,139 ,48 ,68 ,3 ,0 ,118 ,2 ,510 
34,広島県,34211,大竹市,"1,071 ",4 ,19 ,"1,094 ",51 ,51 ,102 ,29 ,21 ,2 ,9 ,60 ,0 ,"1,256 "
34,広島県,34212,東広島市,"4,298 ",14 ,28 ,"4,341 ",312 ,294 ,606 ,201 ,145 ,10 ,15 ,372 ,14 ,"5,333 "
